FID,REPORTDATE,BLOCKADD,OFFENSE
343,2011-12-03 00:00:00,1100 Block 10th St,Incident
344,2008-05-27 00:00:00,4800 Block Thunderbird Dr,Auto Theft
345,2009-11-06 00:00:00,3700 Block 26th St,Vandalism
346,2012-01-23 00:00:00,500 Block 27th Way,Vandalism
347,2010-02-14 00:00:00,Broadway & Walnut St,Vandalism
348,2009-04-02 00:00:00,100 Block Pearl St,Theft From Vehicle
349,2010-01-29 00:00:00,2600 Block Mapleton Ave,Burglary
350,2008-07-11 00:00:00,200 Block Manhattan Dr,Theft From Vehicle
351,2010-04-26 00:00:00,1900 Block Baseline Rd,Vandalism
352,2012-01-23 00:00:00,2900 Block E Aurora Ave,Theft Of Car Parts
353,2010-03-11 00:00:00,1600 Block Pine St,Auto Theft
354,2008-08-18 00:00:00,2800 Block Baseline Rd,Trespassing
355,2012-06-04 00:00:00,3500 Block Endicott Dr,Vandalism
356,2008-10-18 00:00:00,900 Block North St,Vandalism
357,2008-12-29 00:00:00,1000 Block Walnut St,Burglary
358,2009-07-14 00:00:00,500 Block S 44th St,Burglary
359,2009-04-07 00:00:00,33rd St & Arapahoe Ave,Theft From Vehicle
360,2008-01-17 00:00:00,17th St & Marine St,Vandalism
361,2012-08-06 00:00:00,3700 Block Martin Dr,Vandalism
362,2012-01-23 00:00:00,1300 Block Walnut St,Burglary
363,2010-03-31 00:00:00,3900 Block E Aurora Ave,Burglary
364,2008-04-11 00:00:00,1200 Block Lawry Ln,Vandalism
365,2008-02-10 00:00:00,9th St & Canyon Blvd,Sex Assault
366,2009-02-28 00:00:00,2200 Block Norwood Ave,Vandalism
367,2012-01-25 00:00:00,1300 Block Bluebell Ave,Theft From Vehicle
368,2011-03-15 00:00:00,5000 Block Merritt Dr,Theft From Vehicle
369,2008-11-24 00:00:00,600 Block Inca Pkwy,Vandalism
370,2017-11-27 00:00:00,4200 Block Broadway,Theft From Vehicle
371,2012-01-17 00:00:00,3600 Block Roundtree Ct,Incident
372,2012-06-11 00:00:00,1100 Block Walnut St,Vandalism
373,2017-08-27 00:00:00,3300 Block Talisman Ct,Trespassing
374,2008-12-02 00:00:00,700 Block Mohawk Dr,Auto Theft
375,2012-06-04 00:00:00,Brandon Creek Dr & Twin Lakes Rd,Vandalism
376,2010-04-09 00:00:00,2800 Block Stanford Ave,Burglary
377,2011-05-13 00:00:00,4400 Block Laguna Pl,Theft From Vehicle
378,2012-10-29 00:00:00,1500 Block 30th St,Vandalism
379,2008-12-12 00:00:00,1700 Block 29th St,Trespassing
380,2012-01-25 00:00:00,1300 Block Broadway,Assault
381,2011-09-18 00:00:00,1300 Block Ithica Dr,Vandalism
382,2012-11-26 00:00:00,27th Way & Moorhead Ave,Robbery
383,2012-01-25 00:00:00,2700 Block Valmont Rd,Theft From Vehicle
384,2010-07-21 00:00:00,2000 Block Spruce St,Theft From Vehicle
385,2016-01-24 00:00:00,3000 Block Broadway,Trespassing
386,2009-07-22 00:00:00,1000 Block Canyon Blvd,Trespassing
387,2010-06-26 00:00:00,700 Block 17th St,Vandalism
388,2008-06-27 00:00:00,1000 Block 13th St,Trespassing
389,2008-09-06 00:00:00,1000 Block Grandview Ave,Robbery
390,2008-05-14 00:00:00,3000 Block Center Green Dr,Vandalism
391,2009-06-09 00:00:00,2800 Block E Aurora Ave,Theft From Vehicle
392,2008-08-02 00:00:00,17th St & Marine St,Indecent Exposure
393,2011-08-27 00:00:00,800 Block Mohawk Dr,Burglary
394,2012-09-27 00:00:00,11th St & University Ave,Incident
395,2012-01-18 00:00:00,400 Block S 41st St,Auto Theft
396,2008-04-01 00:00:00,2500 Block 49th St,Vandalism
397,2008-05-27 00:00:00,2120 Block 32nd St,Vandalism
398,2009-05-01 00:00:00,3000 Block Broadway,Theft From Vehicle
399,2012-07-08 00:00:00,1100 Block Balsam Ave,Trespassing
400,2008-03-24 00:00:00,15th St & Arapahoe Ave,Vandalism
401,2008-01-03 00:00:00,1700 Block 29th St,Theft From Vehicle
402,2011-12-11 00:00:00,900 Block 17th St,Vandalism
403,2008-05-13 00:00:00,3100 Block Bell Dr,Theft From Vehicle
404,2012-07-08 00:00:00,4900 Block Thunderbird Cir,Vandalism
405,2009-11-10 00:00:00,5000 Block Valmont Rd,Vandalism
406,2008-05-13 00:00:00,4200 Block Monroe Dr,Theft From Vehicle
407,2011-11-30 00:00:00,Crime occurred at an unknown location,Incident
408,2008-05-05 00:00:00,1100 Block Utica Ave,Burglary
409,2009-09-30 00:00:00,4600 Block Table Mesa Dr,Vandalism
410,2008-01-15 00:00:00,2200 Block Broadway,Vandalism
411,2008-05-01 00:00:00,1000 Block 13th St,Trespassing
412,2008-09-22 00:00:00,6200 Block Lookout Rd,Burglary
413,2008-11-07 00:00:00,2700 Block Arapahoe Ave,Trespassing
414,2010-07-07 00:00:00,1000 Block University Ave,Burglary
415,2008-02-16 00:00:00,Crime occurred at an unknown location,Assault
416,2008-06-19 00:00:00,4400 Block Grinnell Ave,Burglary
417,2011-09-13 00:00:00,4900 Block Baseline Rd,Vandalism
